bin,binBarcode,level,option1,option2,option3,productName,productType,quantity,shelf,sku,warehouse,expiration,lotName,minCost,avgCost,maxCost,price,committed,incoming
Grooming,1778252024408,1,Title: Default Title,,,Andis AGC Super 2-Speed Clipper with T-84 Blade,"Horse Care > Grooming & Bathing > Clippers, Blades & Accessories",3,Eliot's Trailer,23330,Corro Trailer 1,,,144310,144310,144310,209990,0,0
Grooming,1778252024408,1,Size: 1 Quart,,,Lucky Braids All-in-One Horse Shampoo,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Shampoos",5,Eliot's Trailer,2325,Corro Trailer 1,,,20000,20000,20000,30990,0,0
Fly Gear,1778252234584,1,Size: 1 Gallon,,,Farnam Bronco Equine Fly Spray,Horse Care > Fly & Insect Control > Fly Sprays & Traps,1,Eliot's Trailer,100502327,Corro Trailer 1,,,18380,18380,18380,29970,0,9
First Aid,1778252086689,1,Size: 4-inch x 5 Yards,Color: Black,,Andover CoFlex Vet Cohesive Bandages - Single Roll,Horse Care > First Aid & Wellness > First Aid Supplies,20,Eliot's Trailer,3540BK-018,Corro Trailer 1,,,1460,1460,1460,1990,0,0
Grooming,1778252024408,1,Size: 16 Ounces,,,Cowboy Magic Detangler & Shine,"Horse Care > Grooming & Bathing > Shampoos, Conditioners & Sprays > Detanglers, Shines & Sprays",6,Eliot's Trailer,11815-2,Corro Trailer 1,,,21080,21880,23480,28990,0,0
Grooming,1778252024408,1,Size: Gallon,,,Cowboy Magic GreenSpot Remover,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Stain Removers",2,Eliot's Trailer,320444,Corro Trailer 1,,,24470,24755,25040,39990,0,0
Grooming,1778252024408,1,Size: 32 Ounces,,,Cowboy Magic Detangler & Shine,"Horse Care > Grooming & Bathing > Shampoos, Conditioners & Sprays > Detanglers, Shines & Sprays",6,Eliot's Trailer,11815-3,Corro Trailer 1,,,38300,39947,43240,49990,0,0
Grooming,1778252024408,1,Size: 32 Ounces,,,Cowboy Magic GreenSpot Remover,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Stain Removers",3,Eliot's Trailer,013-4000,Corro Trailer 1,,,7410,7410,7410,14990,0,0
Treats / Toys,1778252144214,1,Size: 1.5 Kilograms,,,Cavalor Crunchies Healthy Horse Snacks,Horse Care > Treats & Toys > Treats,4,Eliot's Trailer,82696309,Corro Trailer 1,2026-09-10,Lot# LL099,13450,13450,13450,19990,0,0
Supplements,1778252144213,1,Size: 10 Pounds Powder,,,Kentucky Performance Elevate Maintenance Powder,Horse Care > Supplements > Vitamins & Minerals,2,Eliot's Trailer,990011,Corro Trailer 1,2027-10-01,Lot# 550,196500,197230,198690,249950,0,0
